,Gene.Symbol1,Gene.Symbol2,value
133,MZT2B,PANK4,9.77421561919656e-05
134,TUBA3E,PANK4,9.77421561919656e-05
135,CCDC115,PANK4,9.77421561919656e-05
136,IMP4,PANK4,9.77421561919656e-05
137,PTPN18,PANK4,9.77421561919656e-05
138,CFC1B,PANK4,9.77421561919656e-05
139,POTEJ,PANK4,9.77421561919656e-05
140,GPR148,PANK4,9.77421561919656e-05
141,AMER3,PANK4,9.77421561919656e-05
142,ARHGEF4,PANK4,9.77421561919656e-05
143,FAM168B,PANK4,9.77421561919656e-05
144,PLEKHB2,PANK4,9.77421561919656e-05
145,POTEE,PANK4,9.77421561919656e-05
146,TUBA3D,PANK4,9.77421561919656e-05
147,MZT2A,PANK4,9.77421561919656e-05
148,CCDC74A,PANK4,9.77421561919656e-05
149,C2orf27A,PANK4,9.77421561919656e-05
150,C2orf27B,PANK4,9.77421561919656e-05
151,ANKRD30BL,PANK4,9.77421561919656e-05
152,MIR663B,PANK4,9.77421561919656e-05
153,GPR39,PANK4,9.77421561919656e-05
154,LYPD1,PANK4,9.77421561919656e-05
155,MIR3679,PANK4,9.77421561919656e-05
156,MGAT5,PANK4,9.77421561919656e-05
157,TMEM163,PANK4,9.77421561919656e-05
158,ACMSD,PANK4,9.77421561919656e-05
159,CCNT2,PANK4,9.77421561919656e-05
160,MAP3K19,PANK4,9.77421561919656e-05
161,RAB3GAP1,PANK4,9.77421561919656e-05
162,ZRANB3,PANK4,9.77421561919656e-05
163,R3HDM1,PANK4,9.77421561919656e-05
164,UBXN4,PANK4,9.77421561919656e-05
165,LCT,PANK4,9.77421561919656e-05
166,MCM6,PANK4,9.77421561919656e-05
167,DARS,PANK4,9.77421561919656e-05
168,CXCR4,PANK4,9.77421561919656e-05
169,THSD7B,PANK4,9.77421561919656e-05
170,HNMT,PANK4,9.77421561919656e-05
171,SPOPL,PANK4,9.77421561919656e-05
172,LRP1B,PANK4,9.77421561919656e-05
173,KYNU,PANK4,9.77421561919656e-05
174,ARHGAP15,PANK4,9.77421561919656e-05
175,GTDC1,PANK4,9.77421561919656e-05
176,ZEB2,PANK4,9.77421561919656e-05
177,B3GALT1,PANK4,9.77421561919656e-05
178,TNS1,PANK4,9.77421561919656e-05
179,RESP18,PANK4,9.77421561919656e-05
180,NGEF,PANK4,9.77421561919656e-05
181,NEU2,PANK4,9.77421561919656e-05
182,INPP5D,PANK4,9.77421561919656e-05
183,ATG16L1,PANK4,9.77421561919656e-05
184,SAG,PANK4,9.77421561919656e-05
185,DGKD,PANK4,9.77421561919656e-05
186,USP40,PANK4,9.77421561919656e-05
187,UGT1A10,PANK4,9.77421561919656e-05
188,UGT1A9,PANK4,9.77421561919656e-05
189,UGT1A7,PANK4,9.77421561919656e-05
190,UGT1A6,PANK4,9.77421561919656e-05
191,UGT1A5,PANK4,9.77421561919656e-05
192,UGT1A4,PANK4,9.77421561919656e-05
193,UGT1A1,PANK4,9.77421561919656e-05
194,UGT1A8,PANK4,9.77421561919656e-05
195,MROH2A,PANK4,9.77421561919656e-05
196,HJURP,PANK4,9.77421561919656e-05
197,TRPM8,PANK4,9.77421561919656e-05
198,SPP2,PANK4,9.77421561919656e-05
199,ARL4C,PANK4,9.77421561919656e-05
200,SH3BP4,PANK4,9.77421561919656e-05
201,AGAP1,PANK4,9.77421561919656e-05
202,GBX2,PANK4,9.77421561919656e-05
203,ASB18,PANK4,9.77421561919656e-05
204,IQCA1,PANK4,9.77421561919656e-05
205,ACKR3,PANK4,9.77421561919656e-05
206,COL6A3,PANK4,9.77421561919656e-05
207,MLPH,PANK4,9.77421561919656e-05
208,PRLH,PANK4,9.77421561919656e-05
209,RAB17,PANK4,9.77421561919656e-05
210,LRRFIP1,PANK4,9.77421561919656e-05
211,RAMP1,PANK4,9.77421561919656e-05
212,UBE2F,PANK4,9.77421561919656e-05
213,SCLY,PANK4,9.77421561919656e-05
214,ESPNL,PANK4,9.77421561919656e-05
215,KLHL30,PANK4,9.77421561919656e-05
216,ILKAP,PANK4,9.77421561919656e-05
217,HES6,PANK4,9.77421561919656e-05
218,PER2,PANK4,9.77421561919656e-05
219,TRAF3IP1,PANK4,9.77421561919656e-05
220,ASB1,PANK4,9.77421561919656e-05
221,TWIST2,PANK4,9.77421561919656e-05
222,HDAC4,PANK4,9.77421561919656e-05
223,MIR4269,PANK4,9.77421561919656e-05
224,MIR4786,PANK4,9.77421561919656e-05
225,NDUFA10,PANK4,9.77421561919656e-05
226,OR6B2,PANK4,9.77421561919656e-05
227,OR6B3,PANK4,9.77421561919656e-05
228,MYEOV2,PANK4,9.77421561919656e-05
229,OTOS,PANK4,9.77421561919656e-05
230,GPC1,PANK4,9.77421561919656e-05
231,ANKMY1,PANK4,9.77421561919656e-05
232,DUSP28,PANK4,9.77421561919656e-05
233,CAPN10,PANK4,9.77421561919656e-05
234,GPR35,PANK4,9.77421561919656e-05
235,AQP12B,PANK4,9.77421561919656e-05
236,AQP12A,PANK4,9.77421561919656e-05
237,KIF1A,PANK4,9.77421561919656e-05
238,AGXT,PANK4,9.77421561919656e-05
239,C2orf54,PANK4,9.77421561919656e-05
240,SNED1,PANK4,9.77421561919656e-05
241,MTERFD2,PANK4,9.77421561919656e-05
242,PASK,PANK4,9.77421561919656e-05
243,PPP1R7,PANK4,9.77421561919656e-05
244,ANO7,PANK4,9.77421561919656e-05
245,LGI2,PANK4,9.77421561919656e-05
246,ARAP2,PANK4,9.77421561919656e-05
247,LIMCH1,PANK4,9.77421561919656e-05
248,PHOX2B,PANK4,9.77421561919656e-05
249,TMEM33,PANK4,9.77421561919656e-05
250,DCAF4L1,PANK4,9.77421561919656e-05
251,BEND4,PANK4,9.77421561919656e-05
252,SHISA3,PANK4,9.77421561919656e-05
253,ATP8A1,PANK4,9.77421561919656e-05
254,GRXCR1,PANK4,9.77421561919656e-05
255,KCTD8,PANK4,9.77421561919656e-05
256,YIPF7,PANK4,9.77421561919656e-05
257,GUF1,PANK4,9.77421561919656e-05
258,GNPDA2,PANK4,9.77421561919656e-05
259,DCUN1D4,PANK4,9.77421561919656e-05
260,LRRC66,PANK4,9.77421561919656e-05
261,SGCB,PANK4,9.77421561919656e-05
262,SPATA18,PANK4,9.77421561919656e-05
263,USP46,PANK4,9.77421561919656e-05
264,MIR4449,PANK4,9.77421561919656e-05
265,RASL11B,PANK4,9.77421561919656e-05
266,SCFD2,PANK4,9.77421561919656e-05
267,FIP1L1,PANK4,9.77421561919656e-05
268,LNX1,PANK4,9.77421561919656e-05
269,CHIC2,PANK4,9.77421561919656e-05
270,PDGFRA,PANK4,9.77421561919656e-05
271,THEGL,PANK4,9.77421561919656e-05
272,HOPX,PANK4,9.77421561919656e-05
273,SPINK2,PANK4,9.77421561919656e-05
274,REST,PANK4,9.77421561919656e-05
275,POLR2B,PANK4,9.77421561919656e-05
276,IGFBP7,PANK4,9.77421561919656e-05
277,MIR548AG1,PANK4,9.77421561919656e-05
278,PARM1,PANK4,9.77421561919656e-05
279,RCHY1,PANK4,9.77421561919656e-05
280,THAP6,PANK4,9.77421561919656e-05
281,C4orf26,PANK4,9.77421561919656e-05
282,G3BP2,PANK4,9.77421561919656e-05
283,USO1,PANK4,9.77421561919656e-05
284,PPEF2,PANK4,9.77421561919656e-05
285,NAAA,PANK4,9.77421561919656e-05
286,SDAD1,PANK4,9.77421561919656e-05
287,CXCL9,PANK4,9.77421561919656e-05
288,CXCL10,PANK4,9.77421561919656e-05
289,CXCL11,PANK4,9.77421561919656e-05
290,ART3,PANK4,9.77421561919656e-05
291,NUP54,PANK4,9.77421561919656e-05
292,SCARB2,PANK4,9.77421561919656e-05
293,FAM47E,PANK4,9.77421561919656e-05
294,CCDC158,PANK4,9.77421561919656e-05
295,SHROOM3,PANK4,9.77421561919656e-05
296,SOWAHB,PANK4,9.77421561919656e-05
297,SEPT11,PANK4,9.77421561919656e-05
298,CCNI,PANK4,9.77421561919656e-05
299,CCNG2,PANK4,9.77421561919656e-05
300,CXCL13,PANK4,9.77421561919656e-05
301,CNOT6L,PANK4,9.77421561919656e-05
302,MRPL1,PANK4,9.77421561919656e-05
303,FRAS1,PANK4,9.77421561919656e-05
304,ANXA3,PANK4,9.77421561919656e-05
305,BMP2K,PANK4,9.77421561919656e-05
306,PAQR3,PANK4,9.77421561919656e-05
307,GK2,PANK4,9.77421561919656e-05
308,ARHGAP24,PANK4,9.77421561919656e-05
309,MAPK10,PANK4,9.77421561919656e-05
310,MIR4452,PANK4,9.77421561919656e-05
311,PTPN13,PANK4,9.77421561919656e-05
312,SLC10A6,PANK4,9.77421561919656e-05
313,C4orf36,PANK4,9.77421561919656e-05
314,AFF1,PANK4,9.77421561919656e-05
